"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20"
"Сумський фаховий коледж економіки і торгівлі",115,141,54,138,36,82,113,18,31,19,19,17,17
"Фаховий коледж економіки і права Вінницького кооперативного інституту",67,141,54,143,48,102,24,16,24,16,17,16,18
"Придніпровська державна академія фізичної культури і спорту",98,139,53,66,56,80,85,22,21,22,18,19,20
"""Коломийський політехнічний фаховий коледж Національного університету ""Львівська політехніка""",112,136,55,74,31,47,104,16,24,16,16,16,16
"«Класичний фаховий коледж Сумського державного університету»",122,136,39,59,11,24,213,28,30,24,22,23,19
"“Фаховий коледж технологій, бізнесу та права Волинського національного університету ім. Лесі Українки”",72,133,87,191,55,118,-17,16,19,16,17,16,17
"«Фаховий коледж Чернівецького національного університету ім. Ю. Федьковича»",71,133,90,152,55,106,-21,15,17,16,16,16,16
"Мукачівський кооперативний фаховий коледж бізнесу",66,133,63,172,67,137,5,15,21,15,16,15,15
"Донецький державний університет внутрішніх справ",58,132,62,160,52,138,-6,18,22,17,18,18,19
"Фаховий коледж Класичного приватного університету",65,132,134,234,121,183,-51,16,21,16,16,17,17
"""Первомайський фаховий коледж Національного університету кораблебудування ім. адмірала Макарова""",85,128,88,151,57,110,-3,16,16,17,17,18,17
"""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",107,128,155,202,85,118,-31,17,18,17,17,18,17
"""Луганський державний медичний університет""",40,127,73,146,23,52,-45,21,19,22,21,19,20
"Вінницький технічний фаховий коледж",111,127,140,158,121,131,-21,15,16,16,16,16,16
"Заклад фахової передвищої освіти «Київський міський медичний фаховий коледж»",52,126,56,135,52,136,-7,19,18,18,16,19,18
"Одеська національна музична академія ім. А.В. Нежданової",61,125,70,152,82,153,-13,25,25,23,25,22,23
"ПрАТ «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",96,125,65,98,95,132,48,27,29,25,26,24,25
"Сумська філія Харківського національного університету внутрішніх справ",68,125,45,103,32,76,51,18,28,18,19,18,19
"Харківський автомобільно-дорожній фаховий коледж",108,125,89,150,66,119,21,17,29,16,17,18,19
"""Одеський автомобільно-дорожній фаховий коледж Національного університету ""Одеська політехніка""",112,124,161,182,0,0,-30,19,21,18,17,0,0
"""Фаховий коледж Кременчуцького національного університету ім. М. Остроградського""",89,123,80,131,86,124,11,16,19,16,17,16,19
"Донбаська державна машинобудівна академія",92,123,39,55,58,88,136,25,25,20,19,19,19
"""Полтавський фаховий коледж Національного юридичного університету ім. Ярослава Мудрого""",37,122,44,143,43,96,-16,16,17,16,16,16,16
"""Фаховий коледж нафтогазових технологій, інженерії та інфраструктури сервісу Одеського національного технологічного університету""",59,122,104,244,82,200,-43,16,20,17,17,16,17
"Приватний фаховий навчальний заклад «Медичний коледж»",33,122,28,155,36,128,18,17,17,17,17,17,16
"Житомирський базовий фармацевтичний фаховий коледж Житомирської обласної ради",4,121,20,161,12,133,-80,16,15,16,16,16,16
"""Виноградівський фаховий коледж Мукачівського державного університету""",98,120,44,76,14,24,123,16,27,16,16,15,16
"""Стрийський фаховий коледж Львівського національного університету природокористування""",83,120,51,74,53,84,63,16,22,15,16,16,16
"Білгород-Дністровський економіко-правовий фаховий коледж Полтавського університету економіки і торгівлі",43,120,31,106,37,101,39,16,18,16,17,16,17
"""Український гуманітарний інститут""",69,119,33,85,41,86,109,18,24,18,20,18,20
"""Арт академія сучасного мистецтва ім. С. Далі""",53,118,36,121,42,112,47,21,26,18,23,19,20
"""Фаховий коледж транспорту та комп`ютерних технологій Національного університету ""Чернігівська політехніка""",112,117,173,181,125,133,-35,15,16,15,16,16,16
"«Вишнянський фаховий коледж Львівського національного університету природокористування»",105,117,43,81,56,90,144,22,28,16,17,19,20
"Львівська національна музична академія ім. М.В.Лисенка",56,116,53,97,43,103,6,22,24,22,23,22,23
"""Криворізький фаховий коледж Національного авіаційного університету""",93,115,167,194,81,110,-44,19,19,17,18,19,20
"Академія Державної пенітенціарної служби",46,114,37,104,48,83,24,18,19,17,18,18,18
"Медичний фаховий коледж Міжнародного гуманітарного університету",16,113,24,195,22,104,-33,16,19,17,16,18,18
"«Уманський фаховий коледж технологій та бізнесу Уманського національного університету садівництва»",88,112,83,107,52,59,6,17,18,16,16,15,16
"Хмельницький базовий медичний фаховий коледж",10,111,11,115,11,104,-9,19,15,16,15,16,15
"Київський фаховий коледж прикладних наук",24,109,36,150,18,77,-33,16,17,17,17,18,18
"Чернівецький медичний фаховий коледж",28,107,23,146,13,99,22,20,21,19,18,20,18
"Одеський фаховий коледж транспортних технологій",85,105,76,127,44,63,12,19,23,18,18,18,18
"""Інститут екології економіки і права""",94,104,51,84,48,68,84,23,29,24,24,22,24
"Державний вищий навчальний заклад ""Приазовський державний технічний університет""",75,104,126,216,234,411,-40,28,29,19,19,19,20
"Луцький кооперативний фаховий коледж Львівського торговельно-економічного університету",46,104,35,113,25,77,31,16,21,16,17,17,18
"Структурний підрозділ ""Фаховий коледж економіки та інформаційних технологій"" ПрАТ """"Запорізький інститут економіки та інформаційних технологій""",69,104,98,166,30,64,-30,16,16,16,16,16,16
"Первомайський ННІ Національного університету кораблебудування ім. адмірала Макарова",85,103,38,57,39,57,124,21,23,23,22,21,21
"Чернівецький фаховий коледж технологій та дизайну",69,103,9,62,6,25,667,17,33,18,23,16,18
"Вінницький кооперативний інститут",91,102,35,58,58,76,160,18,23,22,20,19,20
"Комунальний заклад фахової передвищої освіти ""Івано-Франківський медичний фаховий коледж"" Івано-Франківської обласної ради",9,101,16,123,15,108,-44,16,16,17,16,17,16
"фаховий коледж Житомирського медичного інституту Житомирської обласної ради",34,101,40,119,30,75,-15,18,17,17,17,17,16
"Черкаський кооперативний економіко-правовий фаховий коледж Полтавського університету економіки і торгівлі",52,101,48,131,29,81,8,16,21,16,16,16,16
