"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20"
"Поліський національний університет",805,1047,321,496,417,630,151,19,23,20,20,19,20
"Національний юридичний університет ім. Ярослава Мудрого",598,1046,656,1488,571,1191,-9,19,23,18,19,18,19
"Одеський національний морський університет",700,1039,647,1105,732,1251,8,19,22,18,20,18,20
"Український державний університет залізничного транспорту",957,1037,102,165,175,284,838,22,31,18,19,18,19
"Вінницький державний педагогічний університет ім. М. Коцюбинського",463,1035,189,630,262,747,145,20,24,19,19,19,20
"Заклад вищої освіти «Подільський державний університет»",959,1034,161,232,216,291,496,22,27,23,21,22,21
"Полтавський національний педагогічний університет ім. В. Короленка",556,1005,142,450,282,730,292,22,26,21,22,20,21
"Тернопільський національний педагогічний університет ім. В. Гнатюка",611,1005,150,533,152,480,307,19,27,19,20,18,19
"Придніпровська державна академія будівництва та архітектури",810,997,152,224,163,240,433,20,28,19,20,19,21
"Уманський національний університет садівництва",819,993,238,397,262,414,244,21,28,21,22,19,20
"""Міжнародний економіко-гуманітарний університет ім. акад. С. Дем'янчука""",818,988,157,346,221,498,421,21,28,18,20,18,19
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",692,985,541,895,506,832,28,17,23,18,19,17,19
"Заклад вищої освіти «Відкритий міжнародний університет розвитку людини «Україна»",846,983,432,607,392,582,96,23,27,21,22,22,21
"Харківський національний університет міського господарства ім. О. Бекетова",730,974,466,1003,513,1204,57,21,28,18,21,18,19
"Національний університет фізичного виховання і спорту України",683,956,538,768,698,989,27,23,21,21,19,22,20
"Чернівецький торговельно-економічний інститут Державного торговельно-економічного університету",864,949,70,117,85,151,1134,21,32,18,20,19,20
"Вінницький торговельно-економічний інститут Державного торговельно-економічного університету",554,940,249,589,251,598,122,18,23,18,19,18,19
"Університет Григорія Сковороди в Переяславі",709,922,291,437,262,478,144,25,27,23,23,22,22
"Українська академія друкарства",794,896,93,176,97,163,754,19,28,17,19,17,19
"""Луганський національний університет ім. Т. Шевченка""",582,893,201,352,228,425,190,27,29,24,25,24,23
"Львівський торговельно-економічний університет",566,881,377,671,278,453,50,18,24,18,18,18,19
"Національна академія внутрішніх справ",291,867,234,659,188,446,24,18,19,18,18,18,18
"Державний податковий університет",626,850,298,683,313,668,110,18,26,18,18,18,19
"Національний аерокосмічний університет ім. М. Є. Жуковського ""Харківський авіаційний інститут""",741,821,467,662,372,531,59,21,29,18,20,18,20
"Дрогобицький державний педагогічний університет ім. І. Франка",524,819,92,295,138,394,470,23,27,22,20,21,20
"Полтавський університет економіки і торгівлі",537,813,443,706,418,804,21,19,23,19,21,18,20
"Кременчуцький національний університет ім. М. Остроградського",579,797,196,333,303,533,195,22,23,20,21,20,21
"Мукачівський державний університет",471,793,80,357,95,343,489,22,28,19,19,20,22
"Заклад вищої освіти “Український католицький університет”",336,792,300,766,276,773,12,21,24,21,22,21,21
"«Південноукраїнський національний педагогічний університет ім. К. Ушинського»",241,789,207,704,213,652,16,22,25,19,21,20,21
"Сумський державний педагогічний університет ім. А.С. Макаренка",519,780,152,364,184,400,241,25,28,21,22,21,22
"Івано-Франківський національний медичний університет",285,760,421,885,304,679,-32,18,19,18,19,18,19
"Національний університет ""Києво-Могилянська академія""",334,756,348,901,364,937,-4,20,23,20,22,20,22
"Національний університет ""Чернігівський колегіум"" ім. Т.Г. Шевченка",513,725,79,207,128,287,549,23,28,20,19,19,19
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",684,719,71,89,134,158,863,23,27,22,24,23,22
"Східноукраїнський національний університет ім. В. Даля",592,706,113,185,182,297,424,28,29,20,22,21,22
"Тернопiльський національний медичний університет ім. I. Горбачевського",299,701,471,951,275,597,-37,19,20,19,20,19,19
