"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20","all_students_23","men_23","mean_age_w_23","mean_age_m_23","delta_23"
"Національний університет кораблебудування ім. адмірала Макарова",1222,1387,589,791,558,786,107,26,27,20,22,20,23,1367,1245,22,31,2
"Університет митної справи та фінансів",689,1331,454,948,510,1093,52,18,21,18,19,18,18,1444,750,18,22,9
"Харківський національний університет радіоелектроніки",1215,1307,1223,1494,1048,1248,-1,21,27,18,19,19,20,1167,1059,21,26,-13
"Національний педагогічний університет ім. М. Драгоманова",587,1274,391,1283,442,1393,50,20,27,19,20,19,20,1456,760,19,29,29
"Національний транспортний університет",1062,1265,660,929,835,1193,61,18,21,18,19,18,19,1563,1306,18,23,23
"Одеський національний університет ім. І. І. Мечникова",463,1248,371,1074,342,998,25,19,23,19,19,18,19,1157,514,19,27,11
"Національний медичний університет ім. О. Богомольця",359,1236,545,1408,379,955,-34,19,20,18,19,18,19,769,203,18,21,-43
"Київський національний університет будівництва і архітектури",771,1193,492,929,503,869,57,19,23,18,19,18,20,1957,1405,19,29,82
"Заклад вищої освіти ""Університет Короля Данила""",924,1178,228,366,192,330,305,18,28,18,22,18,19,985,708,18,28,-23
"Білоцерківський національний аграрний університет",869,1164,307,469,541,835,183,19,23,18,21,20,20,1758,1530,19,28,76
"Вінницький національний аграрний університет",978,1157,388,600,566,836,152,18,22,18,18,18,19,1546,1318,18,24,35
"Уманський державний педагогічний університет ім. П. Тичини",714,1152,283,569,330,804,152,22,25,20,23,20,22,1120,766,22,28,7
"Черкаський національний університет ім. Б. Хмельницького",620,1145,355,807,383,924,75,21,24,19,19,19,19,1507,850,19,26,37
"Черкаський державний технологічний університет",931,1137,275,438,311,480,239,20,25,20,21,21,21,1249,1043,21,27,12
"Львівський національний університет ветеринарної медицини та біотехнологій ім. С. З. Гжицького",912,1132,216,442,233,468,322,20,27,19,19,18,19,1020,835,18,26,-8
"Сумський державний університет",847,1125,534,1001,544,1002,59,20,28,19,20,19,20,1016,742,20,29,-12
"Українська інженерно-педагогічна академія",919,1116,290,505,259,407,217,24,30,20,20,20,21,1152,922,21,30,0
"Харківський національний економічний університет ім. Семена Кузнеця",771,1107,805,1709,755,1730,-4,21,28,18,20,18,19,1879,1169,24,28,52
"Національний університет ""Чернігівська політехніка""",828,1092,415,746,542,998,100,20,26,20,20,19,20,1207,931,20,27,12
"Національний університет ""Одеська політехніка""",877,1080,570,840,444,673,54,19,24,18,19,18,19,1301,1104,19,28,26
"Одеський національний технологічний університет",807,1072,261,479,347,655,209,19,26,19,19,19,20,1718,1502,19,31,86
"Поліський національний університет",805,1047,321,496,417,630,151,19,23,20,20,19,20,1240,972,18,27,21
"Національний юридичний університет ім. Ярослава Мудрого",598,1046,656,1488,571,1191,-9,19,23,18,19,18,19,1531,821,19,23,37
"Одеський національний морський університет",700,1039,647,1105,732,1251,8,19,22,18,20,18,20,1002,677,19,23,-3
"Український державний університет залізничного транспорту",957,1037,102,165,175,284,838,22,31,18,19,18,19,2123,2033,21,33,112
