"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20","all_students_23","men_23","mean_age_w_23","mean_age_m_23","delta_23"
"""Івано-Франківський фаховий коледж фізичного виховання Національного університету фізичного виховання і спорту України""",159,186,109,135,85,102,46,18,20,17,18,17,18,309,272,17,22,71
"Житомирський агротехнічний фаховий коледж",177,186,214,269,128,166,-17,15,20,17,18,18,18,170,158,17,20,-11
"“Київський фаховий коледж комп’ютерних технологій та економіки Національного авіаційного університету”",159,184,146,156,80,86,9,16,16,15,15,16,16,155,133,16,17,-16
"Національна академія статистики, обліку та аудиту",134,181,70,120,86,156,91,18,23,19,20,20,21,208,137,19,24,2
"«Фаховий коледж економіки, права та інформаційних технологій Західноукраїнського національного університету»",96,178,150,276,97,180,-36,16,23,16,17,17,17,442,270,16,24,181
"КОМУНАЛЬНИЙ ЗАКЛАД ""ДНІПРОВСЬКИЙ БАЗОВИЙ ФАХОВИЙ МЕДИЧНИЙ КОЛЕДЖ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""",32,177,27,194,31,206,19,22,18,19,17,22,17,189,23,21,18,-28
"Університет менеджменту освіти",126,174,26,61,27,76,385,21,31,18,20,18,20,283,235,22,33,87
"Тернопільський кооперативний фаховий коледж",55,174,57,204,34,133,-4,16,21,16,16,16,17,195,80,15,26,45
"""Відкритий міжнародний університет розвитку людини ""Україна"" Луцький інститут розвитку людини",140,173,37,94,57,89,278,23,29,23,25,26,21,259,239,25,32,71
"""Маловисторопський фаховий коледж ім. П. Рибалка Сумського національного аграрного університету""",151,169,88,122,47,60,72,27,31,28,25,24,21,204,203,38,34,34
"""Технологічний фаховий коледж Національного університету ""Львівська політехніка""",90,169,98,216,52,148,-8,16,19,16,16,16,15,142,70,15,19,-22
"""Морехідний фаховий коледж ім. О. Маринеска Національного університету ""Одеська морська академія""",152,168,121,124,112,114,26,15,17,17,18,22,18,205,182,16,16,20
"Чернівецький транспортний фаховий коледж",165,167,49,53,30,31,237,33,27,21,17,17,18,144,139,17,21,-16
"Фаховий коледж Київського університету інтелектуальної власності та права Національного університету ""Одеська юридична академія""",65,165,94,231,0,0,-31,16,16,16,16,0,0,323,136,16,18,109
"""Фаховий коледж морського транспорту Національного університету ""Одеська морська академія""",160,164,188,190,182,183,-15,15,16,15,15,15,15,156,147,16,16,-8
"Київський фаховий коледж зв'язку",144,164,185,215,185,206,-22,17,18,16,17,16,17,178,154,16,18,7
"Херсонський національний технічний університет",110,164,192,330,213,401,-43,22,22,20,19,19,19,392,282,28,27,156
"""Техніко-економічний фаховий коледж Національного університету ""Львівська політехніка""",109,163,52,107,44,96,110,16,27,16,16,16,17,134,76,15,25,-30
"""Відкритий міжнародний університет розвитку людини ""Україна"" Миколаївський інститут розвитку людини",133,160,63,121,64,110,111,29,28,32,24,34,26,94,65,29,31,-51
"Луцький фаховий коледж рекреаційних технологій і права",137,160,51,85,32,51,169,18,30,16,17,17,17,208,184,17,31,34
"Житомирський кооперативний фаховий коледж бізнесу і права",67,159,85,208,61,141,-21,16,16,16,16,16,16,223,88,16,19,31
"Фаховий коледж Приватного вищого навчального закладу ""Буковинський університет""",148,159,37,61,36,51,300,15,30,16,16,18,17,121,92,16,25,-38
"Приватна установа ""Університет ""Київська школа економіки""",89,158,114,195,67,133,-22,21,24,22,22,25,24,552,276,21,24,210
"«Рівненський автотранспортний фаховий коледж Національного університету водного господарства та природокористування»",149,157,135,143,95,98,10,15,16,16,16,15,16,172,164,16,16,10
"Київський університет права Національної академії наук України",106,157,56,102,57,106,89,18,25,19,21,18,20,214,125,18,25,18
"Національна музична академія України ім. П. Чайковського",79,157,113,206,82,166,-30,26,26,23,24,23,23,92,46,23,26,-42
"""Тернопільський фаховий коледж Тернопільського національного технічного університету ім. І. Пулюя""",145,156,157,181,143,157,-8,16,18,17,17,15,17,193,182,17,20,26
"Харківська державна академія культури",92,155,54,159,62,179,70,22,28,18,20,19,20,152,86,20,27,-7
"Харківський гуманітарний університет ""Народна українська академія""",103,154,16,90,36,137,544,26,33,21,21,20,20,177,132,27,33,28
"Черкаський державний бізнес-коледж",117,154,121,185,70,118,-3,17,22,16,17,17,16,269,166,16,18,42
"Вищий приватний навчальний заклад ""Львівський медичний університет""",62,153,34,68,28,78,82,23,22,22,19,20,19,129,47,22,23,-24
"""Немішаївський фаховий коледж Національного університету біоресурсів і природокористування України """,117,152,96,151,65,115,22,23,23,21,19,24,20,256,216,24,29,85
"Економіко-правовий фаховий коледж Київського кооперативного інституту бізнесу і права",75,152,117,225,76,136,-36,16,17,16,16,16,16,174,96,16,23,28
"Київська державна академія декоративно-прикладного мистецтва і дизайну ім. М. Бойчука",32,152,17,161,33,107,88,20,24,18,20,21,20,138,25,19,25,-22
"Комунальний заклад вищої освіти ""Волинський медичний інститут"" Волинської обласної ради",12,152,3,67,4,67,300,20,19,17,15,17,16,107,5,22,22,-58
"""Фаховий коледж економіки і технологій Національного університету ""Чернігівська політехніка""",62,151,62,194,47,142,0,16,23,16,17,17,17,184,112,17,29,81
"Одеський державний екологічний університет",138,151,50,60,61,88,176,20,23,19,20,18,20,223,210,24,29,52
"Коледж Приватного закладу вищої освіти ""Міжнародний класичний університет ім. П. Орлика""",62,149,77,208,38,96,-19,19,20,17,16,18,17,191,90,19,25,45
"""Охтирський фаховий коледж Сумського національного аграрного університету""",141,148,67,87,20,26,110,17,27,18,17,22,18,240,235,31,33,67
"Маріупольський державний університет",99,148,129,299,157,349,-23,23,27,19,21,19,21,288,219,22,31,121
"Національна академія образотворчого мистецтва і архітектури",36,147,23,118,25,112,57,20,26,19,19,19,20,202,53,19,21,47
"""Відкритий міжнародний університет розвитку людини ""Україна"" Хмельницький інститут соціальних технологій",101,145,49,80,33,69,106,26,25,28,21,28,23,207,158,26,30,56
"""Фаховий коледж інженерії, управління та землевпорядкування Національного авіаційного університету""",92,144,304,438,197,260,-70,16,16,16,16,16,17,159,113,15,16,23
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі ТзОВ",129,144,46,63,36,49,180,20,28,20,21,19,21,200,191,19,31,48
"Миколаївський національний університет ім. В. Сухомлинського",86,144,109,215,96,257,-21,23,24,21,23,20,22,161,105,26,26,22
"""Харківський торговельно-економічний фаховий коледж Державного торговельно-економічного університету""",117,142,43,93,57,112,172,21,31,19,19,19,20,281,245,22,32,109
"Харківський кооперативний торгово-економічний фаховий коледж",56,142,114,297,85,203,-51,15,19,16,16,16,16,167,48,16,18,-14
"""Природничо-гуманітарний фаховий коледж Державного вищого навчального закладу ""Ужгородський національний університет""",85,141,119,183,67,107,-29,15,17,15,16,15,16,174,98,15,17,15
"Сумський фаховий коледж економіки і торгівлі",115,141,54,138,36,82,113,18,31,19,19,17,17,345,320,16,36,178
"Фаховий коледж економіки і права Вінницького кооперативного інституту",67,141,54,143,48,102,24,16,24,16,17,16,18,173,82,16,23,22
"Придніпровська державна академія фізичної культури і спорту",98,139,53,66,56,80,85,22,21,22,18,19,20,120,96,19,22,-2
"""Коломийський політехнічний фаховий коледж Національного університету ""Львівська політехніка""",112,136,55,74,31,47,104,16,24,16,16,16,16,93,73,16,21,-35
"«Класичний фаховий коледж Сумського державного університету»",122,136,39,59,11,24,213,28,30,24,22,23,19,333,317,23,34,160
"“Фаховий коледж технологій, бізнесу та права Волинського національного університету ім. Лесі Українки”",72,133,87,191,55,118,-17,16,19,16,17,16,17,158,82,16,18,14
"«Фаховий коледж Чернівецького національного університету ім. Ю. Федьковича»",71,133,90,152,55,106,-21,15,17,16,16,16,16,137,85,15,17,20
"Мукачівський кооперативний фаховий коледж бізнесу",66,133,63,172,67,137,5,15,21,15,16,15,15,154,77,15,18,17
"Донецький державний університет внутрішніх справ",58,132,62,160,52,138,-6,18,22,17,18,18,19,217,66,18,19,14
"Фаховий коледж Класичного приватного університету",65,132,134,234,121,183,-51,16,21,16,16,17,17,141,71,16,28,9
"""Первомайський фаховий коледж Національного університету кораблебудування ім. адмірала Макарова""",85,128,88,151,57,110,-3,16,16,17,17,18,17,158,97,16,18,14
"""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",107,128,155,202,85,118,-31,17,18,17,17,18,17,0,0,0,0,0
"""Луганський державний медичний університет""",40,127,73,146,23,52,-45,21,19,22,21,19,20,61,22,23,23,-45
"Вінницький технічний фаховий коледж",111,127,140,158,121,131,-21,15,16,16,16,16,16,199,161,16,16,45
"Заклад фахової передвищої освіти «Київський міський медичний фаховий коледж»",52,126,56,135,52,136,-7,19,18,18,16,19,18,126,49,17,18,-6
"Одеська національна музична академія ім. А.В. Нежданової",61,125,70,152,82,153,-13,25,25,23,25,22,23,92,53,24,26,-13
"ПрАТ «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",96,125,65,98,95,132,48,27,29,25,26,24,25,109,103,20,30,7
"Сумська філія Харківського національного університету внутрішніх справ",68,125,45,103,32,76,51,18,28,18,19,18,19,151,75,18,23,10
"Харківський автомобільно-дорожній фаховий коледж",108,125,89,150,66,119,21,17,29,16,17,18,19,168,138,16,29,28
"""Одеський автомобільно-дорожній фаховий коледж Національного університету ""Одеська політехніка""",112,124,161,182,0,0,-30,19,21,18,17,0,0,163,146,18,21,30
"""Фаховий коледж Кременчуцького національного університету ім. М. Остроградського""",89,123,80,131,86,124,11,16,19,16,17,16,19,129,91,17,22,2
"Донбаська державна машинобудівна академія",92,123,39,55,58,88,136,25,25,20,19,19,19,198,167,20,24,82
"""Полтавський фаховий коледж Національного юридичного університету ім. Ярослава Мудрого""",37,122,44,143,43,96,-16,16,17,16,16,16,16,125,36,15,16,-3
"""Фаховий коледж нафтогазових технологій, інженерії та інфраструктури сервісу Одеського національного технологічного університету""",59,122,104,244,82,200,-43,16,20,17,17,16,17,117,57,16,23,-3
"Приватний фаховий навчальний заклад «Медичний коледж»",33,122,28,155,36,128,18,17,17,17,17,17,16,111,30,18,19,-9
"Житомирський базовий фармацевтичний фаховий коледж Житомирської обласної ради",4,121,20,161,12,133,-80,16,15,16,16,16,16,96,31,16,31,675
"""Виноградівський фаховий коледж Мукачівського державного університету""",98,120,44,76,14,24,123,16,27,16,16,15,16,73,63,16,28,-36
"""Стрийський фаховий коледж Львівського національного університету природокористування""",83,120,51,74,53,84,63,16,22,15,16,16,16,100,64,15,20,-23
"Білгород-Дністровський економіко-правовий фаховий коледж Полтавського університету економіки і торгівлі",43,120,31,106,37,101,39,16,18,16,17,16,17,118,38,16,18,-12
"""Український гуманітарний інститут""",69,119,33,85,41,86,109,18,24,18,20,18,20,182,115,20,31,67
"""Арт академія сучасного мистецтва ім. С. Далі""",53,118,36,121,42,112,47,21,26,18,23,19,20,95,48,19,26,-9
"""Фаховий коледж транспорту та комп`ютерних технологій Національного університету ""Чернігівська політехніка""",112,117,173,181,125,133,-35,15,16,15,16,16,16,81,74,15,18,-34
"«Вишнянський фаховий коледж Львівського національного університету природокористування»",105,117,43,81,56,90,144,22,28,16,17,19,20,103,78,17,25,-26
"Львівська національна музична академія ім. М.В.Лисенка",56,116,53,97,43,103,6,22,24,22,23,22,23,110,63,21,23,12
"""Криворізький фаховий коледж Національного авіаційного університету""",93,115,167,194,81,110,-44,19,19,17,18,19,20,206,181,19,22,95
"Академія Державної пенітенціарної служби",46,114,37,104,48,83,24,18,19,17,18,18,18,107,55,18,20,20
"Медичний фаховий коледж Міжнародного гуманітарного університету",16,113,24,195,22,104,-33,16,19,17,16,18,18,142,16,17,21,0
"«Уманський фаховий коледж технологій та бізнесу Уманського національного університету садівництва»",88,112,83,107,52,59,6,17,18,16,16,15,16,71,60,15,17,-32
"Хмельницький базовий медичний фаховий коледж",10,111,11,115,11,104,-9,19,15,16,15,16,15,105,12,17,15,20
"Київський фаховий коледж прикладних наук",24,109,36,150,18,77,-33,16,17,17,17,18,18,182,73,16,32,204
"Чернівецький медичний фаховий коледж",28,107,23,146,13,99,22,20,21,19,18,20,18,135,20,22,21,-29
"Одеський фаховий коледж транспортних технологій",85,105,76,127,44,63,12,19,23,18,18,18,18,151,116,19,23,36
"""Інститут екології економіки і права""",94,104,51,84,48,68,84,23,29,24,24,22,24,128,103,23,32,10
"Державний вищий навчальний заклад ""Приазовський державний технічний університет""",75,104,126,216,234,411,-40,28,29,19,19,19,20,614,543,31,35,624
"Луцький кооперативний фаховий коледж Львівського торговельно-економічного університету",46,104,35,113,25,77,31,16,21,16,17,17,18,100,35,16,19,-24
"Структурний підрозділ ""Фаховий коледж економіки та інформаційних технологій"" ПрАТ """"Запорізький інститут економіки та інформаційних технологій""",69,104,98,166,30,64,-30,16,16,16,16,16,16,82,48,16,16,-30
"Первомайський ННІ Національного університету кораблебудування ім. адмірала Макарова",85,103,38,57,39,57,124,21,23,23,22,21,21,208,200,19,27,135
"Чернівецький фаховий коледж технологій та дизайну",69,103,9,62,6,25,667,17,33,18,23,16,18,55,30,17,24,-57
"Вінницький кооперативний інститут",91,102,35,58,58,76,160,18,23,22,20,19,20,115,105,19,27,15
"Комунальний заклад фахової передвищої освіти ""Івано-Франківський медичний фаховий коледж"" Івано-Франківської обласної ради",9,101,16,123,15,108,-44,16,16,17,16,17,16,115,13,17,19,44
"фаховий коледж Житомирського медичного інституту Житомирської обласної ради",34,101,40,119,30,75,-15,18,17,17,17,17,16,132,32,17,19,-6
"Черкаський кооперативний економіко-правовий фаховий коледж Полтавського університету економіки і торгівлі",52,101,48,131,29,81,8,16,21,16,16,16,16,125,53,16,27,2
