"university","women_22","men_22","all_students_22","women_21","men_21","all_students_21","delta_22","delta_21","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21"
"Комунальний заклад вищої освіти ""Вінницька академія безперервної освіти""",72,146,218,55,15,70,873,50,35,33,40,39
"Львівський кооперативний фаховий коледж економіки і права",128,90,218,178,134,312,-33,23,16,22,16,16
"Одеський морехідний фаховий коледж морського та рибопромислового флоту ім. О. Соляника",0,218,218,0,362,362,-40,26,0,16,0,16
"Хмельницький кооперативний фаховий коледж Хмельницького кооперативного торговельно-економічного інституту",135,83,218,186,128,314,-35,29,15,16,16,16
"""Волинський фаховий коледж Національного університету харчових технологій""",48,169,217,73,85,158,99,13,16,22,16,16
"Ізмаїльський державний гуманітарний університет",129,88,217,107,43,150,105,-10,21,26,20,24
"Вінницький медичний фаховий коледж ім. акад. Д. Заболотного",174,42,216,169,30,199,40,-23,19,17,17,17
"Полтавський фаховий кооперативний коледж",136,77,213,151,76,227,1,15,16,21,16,17
"Хмельницький кооперативний торговельно-економічний інститут",83,128,211,66,91,157,41,14,19,20,20,20
"""Київський кооперативний інститут бізнесу і права""",58,152,210,36,53,89,187,-13,20,24,19,20
"""Мукачівський фаховий коледж Національного університету біоресурсів і природокористування України""",67,141,208,97,82,179,72,134,16,22,16,16
"""Рівненський фаховий коледж Національного університету біоресурсів і природокористування України""",73,135,208,82,103,185,31,27,16,19,16,17
"Херсонський ННІ Національного університету кораблебудування ім. адмірала Макарова",17,190,207,11,153,164,24,30,27,29,34,29
"Заклад вищої освіти ""Львівський університет бізнесу та права""",16,190,206,19,48,67,296,100,22,31,20,23
"""Бережанський фаховий коледж Національного університету біоресурсів і природокористування України""",11,194,205,16,83,99,134,-20,23,24,24,22
"Черкаський інститут пожежної безпеки ім. Героїв Чорнобиля Національного університету цивільного захисту України",74,131,205,48,64,112,105,16,18,19,18,18
"Черкаська медична академія",159,45,204,200,55,255,-18,8,19,20,18,19
"Полтавський юридичний інститут Національного юридичного університету ім. Ярослава Мудрого",92,108,200,53,53,106,104,-25,18,20,18,19
"Вищий навчальний приватний заклад ""Дніпровський гуманітарний університет""",94,105,199,50,45,95,133,-21,19,25,18,20
"Галицький фаховий коледж ім. В. Чорновола",107,91,198,92,39,131,133,-11,17,18,16,16
"Національний університет цивільного захисту України",55,142,197,104,170,274,-16,-9,20,26,17,18
