"university","women_22","men_22","all_students_22","women_21","men_21","all_students_21","delta_22","delta_21","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21"
"Приватний фаховий навчальний заклад «Медичний коледж»",89,33,122,127,28,155,18,-22,17,17,17,17
"Житомирський базовий фармацевтичний фаховий коледж Житомирської обласної ради",117,4,121,141,20,161,-80,67,16,15,16,16
"""Виноградівський фаховий коледж Мукачівського державного університету""",22,98,120,32,44,76,123,214,16,27,16,16
"""Стрийський фаховий коледж Львівського національного університету природокористування""",37,83,120,23,51,74,63,-4,16,22,15,16
"Білгород-Дністровський економіко-правовий фаховий коледж Вищого навчального закладу Укоопспілки ""Полтавський університет економіки і торгівлі""",77,43,120,75,31,106,39,-16,16,18,16,17
"""Український гуманітарний інститут""",50,69,119,52,33,85,109,-20,18,24,18,20
" ""Арт академія сучасного мистецтва ім. С. Далі""",65,53,118,85,36,121,47,-14,21,26,18,23
"""Фаховий коледж транспорту та комп`ютерних технологій Національного університету ""Чернігівська політехніка""",5,112,117,8,173,181,-35,38,15,16,15,16
"«Вишнянський фаховий коледж Львівського національного університету природокористування»",12,105,117,38,43,81,144,-23,22,28,16,17
"Львівська національна музична академія ім. М.В.Лисенка",60,56,116,44,53,97,6,23,22,24,22,23
"""Криворізький фаховий коледж Національного авіаційного університету""",22,93,115,27,167,194,-44,106,19,19,17,18
"Академія Державної пенітенціарної служби",68,46,114,67,37,104,24,-23,18,19,17,18
"Медичний фаховий коледж Міжнародного гуманітарного університету",97,16,113,171,24,195,-33,9,16,19,17,16
"«Уманський фаховий коледж технологій та бізнесу Уманського національного університету садівництва»",24,88,112,24,83,107,6,60,17,18,16,16
"Хмельницький базовий медичний фаховий коледж",101,10,111,104,11,115,-9,0,19,15,16,15
"Київський фаховий коледж прикладних наук",85,24,109,114,36,150,-33,100,16,17,17,17
"Чернівецький медичний фаховий коледж",79,28,107,123,23,146,22,77,20,21,19,18
"Одеський фаховий коледж транспортних технологій",20,85,105,51,76,127,12,73,19,23,18,18
"""Інститут екології економіки і права""",10,94,104,33,51,84,84,6,23,29,24,24
"Державний вищий навчальний заклад ""Приазовський державний технічний університет""",29,75,104,90,126,216,-40,-46,28,29,19,19
"Луцький кооперативний фаховий коледж Львівського торговельно-економічного університету",58,46,104,78,35,113,31,40,16,21,16,17
"Структурний підрозділ ""Фаховий коледж економіки та інформаційних технологій"" ПрАТ """"Запорізький інститут економіки та інформаційних технологій""",35,69,104,68,98,166,-30,227,16,16,16,16
"Первомайський ННІ Національного університету кораблебудування ім. адмірала Макарова",18,85,103,19,38,57,124,-3,21,23,23,22
"Чернівецький фаховий коледж технологій та дизайну",34,69,103,53,9,62,667,50,17,33,18,23
"Вінницький кооперативний інститут",11,91,102,23,35,58,160,-40,18,23,22,20
"Комунальний заклад фахової передвищої освіти ""Івано-Франківський медичний фаховий коледж"" Івано-Франківської обласної ради",92,9,101,107,16,123,-44,7,16,16,17,16
"фаховий коледж Житомирського медичного інституту Житомирської обласної ради",67,34,101,79,40,119,-15,33,18,17,17,17
"Черкаський кооперативний економіко-правовий фаховий коледж Вищого навчального закладу Укоопспілки ""Полтавський університет економіки і торгівлі""",49,52,101,83,48,131,8,66,16,21,16,16
